ID,Location_ID,Zones,Transportation_Type,3 or more vehicles available,2 vehicles available,1 vehicle available,No vehicle available,Male,Female,16 to 19 years,20 to 24 years,25 to 44 years,45 to 54 years,55 to 59 years,60 years and over,"Earnings $1 to $9,999 or loss","Earnings $10,000 to $14,999","Earnings $15,000 to $24,999","Earnings $25,000 to $34,999","Earnings $35,000 to $49,999","Earnings $50,000 to $64,999","earnings $65,000 to $74,999","earnings $75,000 or more"
D1,3,Allerton/Pelham Gardens,drove_alone,1840,2149,2208,71,3517,2749,2,404,2693,1336,768,1063,120,240,456,380,1062,1162,470,2072
D2,4,Alphabet City,drove_alone,11,2,381,269,248,415,0,26,296,73,194,74,631,8,52,8,47,60,50,318
D3,5,Arden Heights,drove_alone,2563,4772,1434,158,4999,3929,258,413,4492,1819,729,1219,170,544,640,938,1231,1118,713,3115
D4,6,Arrochar/Fort Wadsworth,drove_alone,576,1340,1010,83,1614,1395,8,223,1368,700,253,457,148,191,216,476,467,238,179,1072
D5,7,Astoria,drove_alone,210,982,2980,620,3232,1560,18,107,2639,844,480,704,39,187,418,472,712,874,415,1566
D6,8,Astoria Park,drove_alone,0,39,251,40,238,92,0,0,147,39,0,144,302,0,60,28,53,63,0,87
D7,9,Auburndale,drove_alone,1035,2301,1321,168,2794,2031,59,137,1967,1243,788,631,525,330,715,589,488,740,305,1356
D8,10,Baisley Park,drove_alone,2380,3380,3292,113,5247,3918,85,368,4514,2010,909,1279,353,365,978,1459,1777,1641,585,1834
D9,11,Bath Beach,drove_alone,567,1330,2071,347,2841,1474,39,163,1927,1047,477,662,0,119,484,381,551,641,287,1499
D10,13,Battery Park City,drove_alone,0,0,578,198,427,349,0,0,156,190,118,312,376,0,0,10,49,35,105,577
D11,14,Bay Ridge,drove_alone,726,2282,4775,642,5938,2487,13,284,4020,2040,847,1221,350,198,726,739,932,1086,768,3600
D12,15,Bay Terrace/Fort Totten,drove_alone,1019,2235,1975,186,2618,2797,117,160,2191,1393,476,1077,634,164,362,416,662,547,382,2527
D13,16,Bayside,drove_alone,2492,4108,3028,251,5586,4294,85,685,3734,2485,1093,1798,359,496,936,972,1386,945,543,3968
D14,17,Bedford,drove_alone,102,1191,2779,668,2857,1883,88,294,2749,977,322,310,267,382,562,510,699,351,605,1272
D15,18,Bedford Park,drove_alone,52,571,2170,249,2058,984,11,359,1577,594,338,163,618,162,619,432,553,397,185,427
D16,19,Bellerose,drove_alone,1633,3707,1953,112,4023,3381,115,496,3248,1412,718,1414,87,376,572,481,1032,1459,710,2155
D17,20,Belmont,drove_alone,43,390,947,89,934,535,16,29,586,295,176,367,337,49,237,195,374,244,37,246
D18,21,Bensonhurst East,drove_alone,404,2387,3402,294,4459,2028,45,264,3421,1200,747,810,577,455,673,789,1107,943,354,1829
D19,22,Bensonhurst West,drove_alone,852,2492,4483,623,5818,2632,48,549,4202,1857,828,966,666,462,1155,1294,1508,682,698,2074
D20,23,Bloomfield/Emerson Hill,drove_alone,3211,4910,2477,155,5274,5478,97,599,5130,2266,1201,1458,0,469,1041,1178,1338,1431,817,3810
D21,24,Bloomingdale,drove_alone,0,0,404,13,328,89,0,16,172,82,19,128,22,41,58,15,50,59,29,165
D22,25,Boerum Hill,drove_alone,0,254,669,0,467,456,0,8,511,262,20,122,602,0,78,98,183,45,39,458
D23,26,Borough Park,drove_alone,184,1477,4449,564,4971,1704,88,313,3350,1276,439,1209,26,335,856,728,1069,1155,425,1505
D24,27,Breezy Point/Fort Tilden/Riis Beach,drove_alone,311,590,101,33,485,550,0,37,410,126,344,118,488,37,35,78,75,93,57,634
D25,28,Briarwood/Jamaica Hills,drove_alone,1084,2041,3300,408,4656,2177,35,477,3333,1419,605,965,186,227,845,889,1088,1160,436,1700
D26,29,Brighton Beach,drove_alone,72,479,2412,272,2380,855,7,392,1366,570,204,696,129,73,348,760,532,402,119,815
D27,32,Bronxdale,drove_alone,211,762,2035,414,2130,1292,32,120,1669,912,306,383,59,163,436,584,374,604,335,797
D28,33,Brooklyn Heights,drove_alone,0,152,693,159,548,456,22,44,468,122,134,214,9,35,0,98,61,162,22,567
D29,34,Brooklyn Navy Yard,drove_alone,0,27,84,17,111,18,0,0,53,38,12,26,91,0,7,0,12,2,17,82
D30,35,Brownsville,drove_alone,108,521,1263,417,1037,1272,29,75,1199,490,244,272,193,111,311,362,632,291,107,404
D31,36,Bushwick North,drove_alone,0,1172,1909,627,2671,1038,148,162,2014,640,456,289,310,145,800,428,764,456,167,756
D32,37,Bushwick South,drove_alone,377,1018,3240,653,3422,1866,22,288,2849,1125,571,433,376,143,506,703,1191,1012,374,1049
D33,38,Cambria Heights,drove_alone,2166,2161,1027,117,2725,2746,70,373,2125,1326,657,920,631,191,450,521,989,822,377,1745
D34,39,Canarsie,drove_alone,2023,4309,7109,763,7464,6740,52,510,6013,3297,2298,2034,0,525,1379,1492,2273,2250,1229,4425
D35,40,Carroll Gardens,drove_alone,0,6,389,11,282,124,0,0,149,198,6,53,28,0,17,0,14,28,21,326
D36,41,Central Harlem,drove_alone,43,161,1338,328,1158,712,0,97,742,629,209,193,188,98,231,92,267,210,64,880
D37,42,Central Harlem North,drove_alone,60,613,2087,744,2013,1491,31,63,1723,1100,288,299,572,217,223,295,588,586,242,1165
D38,44,Charleston/Tottenville,drove_alone,2247,3722,948,237,3835,3322,92,604,3009,1948,711,792,23,65,496,630,850,693,362,3483
D39,45,Chinatown,drove_alone,0,42,284,32,253,105,0,0,114,95,109,40,85,34,0,73,92,14,80,42
D40,46,City Island,drove_alone,378,190,466,15,736,313,10,50,473,324,74,117,166,16,69,34,150,247,97,352
D41,47,Claremont/Bathgate,drove_alone,44,270,1351,369,1344,690,58,226,1089,499,75,87,21,28,266,153,563,497,94,267
D42,48,Clinton East,drove_alone,91,65,421,430,754,253,0,13,356,320,283,35,82,0,55,0,176,151,48,556
D43,49,Clinton Hill,drove_alone,46,336,1343,169,946,948,19,148,876,541,80,230,136,68,146,126,150,230,139,953
D44,50,Clinton West,drove_alone,0,0,521,156,473,204,0,108,467,47,0,55,33,0,165,0,0,0,19,357
D45,50,Cobble Hill,drove_alone,0,23,294,72,184,205,0,0,158,93,25,113,429,12,0,36,31,16,19,242
D46,50,College Point,drove_alone,1538,2401,2562,135,4069,2569,34,286,3408,1581,419,909,0,233,703,1331,1043,1012,448,1438
D47,50,Columbia Street,drove_alone,0,64,138,41,157,86,0,0,101,58,15,69,321,0,0,34,44,28,28,109
D48,55,Coney Island,drove_alone,574,898,2564,232,2374,1894,0,176,1761,1144,364,823,330,236,441,623,762,533,241,1111
D49,55,Co-Op City,drove_alone,249,2182,2829,147,2890,2517,57,67,2637,1075,768,803,377,44,492,681,958,699,612,1590
D50,57,Corona,drove_alone,526,1122,2621,739,3778,1230,0,259,2444,1310,460,535,30,270,606,618,1096,787,276,978
D51,58,Country Club,drove_alone,550,1001,550,30,1024,1106,3,20,1168,498,144,297,54,122,350,102,260,292,130,842
D52,60,Crotona Park East,drove_alone,81,248,649,142,691,429,0,66,607,298,52,97,452,84,129,180,219,327,19,108
D53,61,Crown Heights North,drove_alone,246,1032,5269,721,3531,3738,19,249,4262,1284,840,615,134,434,732,590,1117,1209,423,2312
D54,62,Crown Heights South,drove_alone,162,748,1232,349,1351,1140,8,118,1169,626,256,314,256,103,528,466,331,211,63,655
D55,63,Cypress Hills,drove_alone,478,1151,2513,1007,3405,1744,48,375,2411,1033,660,622,369,154,566,1024,608,858,461,1222
D56,64,Douglaston,drove_alone,1855,2745,1865,145,3605,3006,25,431,2128,1863,1037,1126,0,334,276,536,891,1199,411,2597
D57,65,Downtown Brooklyn/MetroTech,drove_alone,7,23,388,23,359,82,0,8,248,58,23,104,40,31,8,62,66,8,40,226
D58,66,DUMBO/Vinegar Hill,drove_alone,76,11,399,117,525,78,0,6,360,181,28,28,477,0,103,6,17,28,116,293
D59,67,Dyker Heights,drove_alone,763,1592,2683,265,3345,1959,37,301,2124,1324,611,907,100,372,611,392,607,617,313,1915
D60,68,East Chelsea,drove_alone,0,79,348,245,387,285,0,1,278,240,51,102,234,75,23,61,26,0,16,371
D61,69,East Concourse/Concourse Village,drove_alone,49,993,2892,686,3075,1546,29,141,2579,978,486,408,284,314,618,755,1076,673,389,562
D62,70,East Elmhurst,drove_alone,460,644,1066,116,1559,727,7,131,876,665,323,284,313,99,329,348,396,292,117,421
D63,71,East Flatbush/Farragut,drove_alone,823,2070,3568,360,4089,2732,18,261,3066,1385,865,1226,172,228,544,898,1166,1153,465,2054
D64,72,East Flatbush/Remsen Village,drove_alone,413,1831,3458,302,3681,2323,37,269,2557,1520,875,746,185,226,613,852,1310,1000,346,1485
D65,73,East Flushing,drove_alone,810,1485,1600,176,2885,1186,23,25,1690,850,663,820,137,228,627,706,562,639,327,797
D66,74,East Harlem North,drove_alone,161,471,1118,189,1075,864,0,48,1021,328,194,348,39,11,171,376,290,245,80,629
D67,75,East Harlem South,drove_alone,0,95,739,231,689,376,0,54,512,172,108,219,290,76,226,87,241,81,10,305
D68,76,East New York,drove_alone,908,2209,5197,716,5679,3352,143,385,3912,2703,683,1206,114,287,1152,1117,2025,1725,711,1723
D69,77,East New York/Pennsylvania Avenue,drove_alone,88,563,1474,305,1278,1153,0,89,1172,583,275,312,382,15,411,342,498,347,65,639
D70,78,East Tremont,drove_alone,318,906,1763,413,2321,1079,58,249,1807,809,363,114,53,289,330,541,606,613,257,382
D71,79,East Village,drove_alone,0,132,529,346,602,404,8,110,541,16,154,177,206,61,129,62,90,42,60,509
D72,80,East Williamsburg,drove_alone,58,503,782,299,938,704,12,133,975,296,59,167,463,65,209,52,292,127,90,601
D73,81,Eastchester,drove_alone,1702,2121,2217,550,3706,2883,38,585,2639,1844,614,867,340,275,1027,596,1353,989,240,1646
D74,82,Elmhurst,drove_alone,560,1324,3942,644,4748,1722,46,331,2987,1323,776,1007,115,361,827,1330,1124,1100,541,847
D75,83,Elmhurst/Maspeth,drove_alone,468,1046,1400,280,2385,808,6,75,1887,664,179,382,415,116,183,582,948,408,327,514
D76,84,Eltingville/Annadale/Prince's Bay,drove_alone,3860,3986,1248,144,4709,4530,163,645,3860,2331,887,1353,110,286,649,800,1542,1280,603,3662
D77,85,Erasmus,drove_alone,229,544,1309,85,1114,1052,2,27,1227,549,193,168,775,31,114,396,381,503,125,506
D78,86,Far Rockaway,drove_alone,1419,2519,4420,809,4894,4273,311,453,4441,1745,1157,1062,523,445,642,1384,1654,1482,380,2406
D79,89,Flatbush/Ditmas Park,drove_alone,719,1927,5559,864,5819,3250,49,367,4742,1734,1048,1129,44,321,1194,656,1590,1058,861,2866
D80,90,Flatiron,drove_alone,33,91,320,331,553,222,0,49,421,18,163,124,450,0,0,0,0,174,38,519
D81,91,Flatlands,drove_alone,1566,3143,5594,440,6073,4670,30,528,4110,2576,1358,2141,243,363,1218,1241,1689,1481,957,3344
D82,92,Flushing,drove_alone,616,646,3238,529,3154,1875,20,206,2515,1173,430,685,49,293,1148,560,784,671,269,1061
D83,94,Fordham South,drove_alone,0,17,834,220,907,164,0,36,654,199,71,111,379,36,307,285,278,74,10,32
D84,95,Forest Hills,drove_alone,314,2822,6762,832,6573,4157,53,167,4857,2535,1073,2045,0,230,947,722,974,1451,839,5188
D85,96,Forest Park/Highland Park,drove_alone,4,0,0,0,4,0,0,0,0,4,0,0,106,0,0,0,0,0,0,4
D86,97,Fort Greene,drove_alone,26,231,1163,259,935,744,0,47,862,422,158,190,148,118,83,193,186,136,62,795
D87,98,Fresh Meadows,drove_alone,253,1558,1514,256,2214,1367,21,58,1504,919,533,546,0,227,345,349,599,537,145,1231
D88,99,Freshkills Park,drove_alone,0,0,10,5,15,0,0,0,10,0,0,5,0,0,5,0,5,0,0,5
D89,100,Garment District,drove_alone,0,0,0,6,0,6,0,0,6,0,0,0,286,0,0,0,0,0,0,6
D90,101,Glen Oaks,drove_alone,2147,3034,1974,227,3939,3443,36,287,3394,1552,770,1341,324,239,523,438,1023,1339,281,3250
D91,102,Glendale,drove_alone,1100,2680,3383,278,4424,3017,87,287,3570,2064,651,782,30,277,521,1138,1148,1320,473,2240
D92,106,Gowanus,drove_alone,3,43,171,37,137,117,23,0,117,73,35,6,45,9,0,28,17,10,42,118
D93,107,Gramercy,drove_alone,81,102,177,162,361,160,9,44,214,24,27,203,263,8,64,0,22,38,0,344
D94,108,Gravesend,drove_alone,300,1174,1719,58,1922,1329,0,286,1156,892,319,598,872,78,349,312,526,495,280,948
D95,109,Great Kills,drove_alone,3850,5825,1777,287,6193,5542,70,988,5033,2714,1271,1664,96,335,743,845,1433,1605,826,5079
D96,110,Greenpoint,drove_alone,92,601,2063,405,2134,1027,10,63,1972,385,355,376,70,139,102,293,291,489,232,1519
D97,110,Greenwich Village North,drove_alone,37,54,295,409,500,296,45,135,179,162,48,227,54,3,23,9,127,27,0,537
D98,110,Greenwich Village South,drove_alone,0,0,144,141,96,189,10,10,243,0,0,22,142,0,0,15,100,38,0,78
D99,115,Grymes Hill/Clifton,drove_alone,931,1778,1508,73,2447,1843,49,88,1832,1377,372,572,35,342,329,461,894,740,226,1156
D100,116,Hamilton Heights,drove_alone,28,117,1281,106,1111,421,0,27,708,552,138,107,422,111,104,173,280,363,141,325
D101,117,Hammels/Arverne,drove_alone,705,2970,3236,301,3787,3423,15,456,3281,1481,685,1294,547,287,786,756,1269,875,793,2023
D102,118,Heartland Village/Todt Hill,drove_alone,1837,4249,1761,294,4770,3373,75,484,3035,2190,807,1549,51,331,876,544,1437,496,595,3318
D103,119,Highbridge,drove_alone,48,243,1427,181,1374,525,0,93,857,577,332,40,404,143,405,253,328,362,126,231
D104,121,Hillcrest/Pomonok,drove_alone,705,2367,2441,161,3341,2332,104,411,2606,1052,513,988,108,405,421,1000,818,690,366,1568
D105,122,Hollis,drove_alone,965,1989,1353,320,2377,2249,70,276,2235,967,407,671,267,115,779,636,998,696,284,1010
D106,123,Homecrest,drove_alone,639,1446,2591,393,3129,1940,52,311,2133,1027,613,933,534,258,460,635,1057,491,158,1743
D107,124,Howard Beach,drove_alone,2082,3933,1665,40,4340,3377,56,329,3150,1966,1150,1069,12,217,581,843,524,1093,424,3506
D108,125,Hudson Sq,drove_alone,0,0,75,59,32,102,0,0,41,0,49,44,85,40,0,0,13,0,22,47
D109,126,Hunts Point,drove_alone,94,331,1248,159,1159,673,0,163,980,385,187,117,65,147,228,103,385,655,71,158
D110,127,Inwood,drove_alone,14,453,1370,233,1229,841,0,23,1332,418,160,137,522,85,164,347,570,261,85,493
D111,129,Jackson Heights,drove_alone,1042,2399,4685,791,6258,2659,50,251,4387,2133,1150,946,525,394,704,1488,2082,1211,449,2067
D112,130,Jamaica,drove_alone,671,2147,3467,605,4668,2223,55,473,3409,1608,740,606,51,416,957,909,1446,934,379,1325
D113,130,Jamaica Bay,drove_alone,370,675,410,0,809,646,19,80,554,468,161,173,295,95,144,97,224,129,72,643
D114,131,Jamaica Estates,drove_alone,1176,1763,2003,87,3041,1988,36,289,1937,1287,576,904,89,255,325,400,827,776,375,1776
D115,133,Kensington,drove_alone,256,396,1956,318,2270,656,0,93,1634,713,221,265,133,158,375,633,307,320,221,823
D116,134,Kew Gardens,drove_alone,143,892,2013,332,2062,1318,0,112,1584,866,341,477,453,136,347,213,345,445,188,1573
